date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:54	121/121	---MC-	200	added ('OK')	text/plain	date:Fri,%2013%20Aug%202021%2009:04:53%20GMT	https://scisco.egemenerd.com/robots.txt		(from )
14:34:55	77499/77499	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2009:04:54%20GMT	https://scisco.egemenerd.com/	D:/project/ali2/scisco.egemenerd.com/index.html	(from )
14:34:57	6738/6738	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jun%202021%2018:54:03%20GMT	https://scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	D:/project/ali2/scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	(from https://scisco.egemenerd.com/)
14:34:58	1233958/1233958	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:40:32%20GMT	https://scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_a9762f478d0e3c934c727b8944642461.css	D:/project/ali2/scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_a9762f478d0e3c934c727b8944642461.css	(from https://scisco.egemenerd.com/)
14:35:00	30973/30973	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Aug%202021%2009:04:59%20GMT	https://scisco.egemenerd.com/wp-content/plugins/anspress-question-answer/templates/js-template	D:/project/ali2/scisco.egemenerd.com/wp-content/plugins/anspress-question-answer/templates/js-template.2.delayed	(from https://scisco.egemenerd.com/)
14:35:02	59016/59016	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2010:38:05%20GMT	https://scisco.egemenerd.com/wp-includes/css/dashicons.min.css?ver=5.8	D:/project/ali2/scisco.egemenerd.com/wp-includes/css/dashicons.min41a3.css	(from https://scisco.egemenerd.com/)
14:35:02	3895/3895	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2008%20Aug%202021%2011:17:21%20GMT	https://scisco.egemenerd.com/comments/feed/	D:/project/ali2/scisco.egemenerd.com/comments/feed/index.html	(from https://scisco.egemenerd.com/)
14:35:03	42297/42297	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2013%20Aug%202021%2008:53:23%20GMT	https://scisco.egemenerd.com/feed/	D:/project/ali2/scisco.egemenerd.com/feed/index.html	(from https://scisco.egemenerd.com/)
14:35:04	115161/115161	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Mar%202021%2015:22:07%20GMT	https://scisco.egemenerd.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1616167327	D:/project/ali2/scisco.egemenerd.com/wp-content/uploads/elementor/css/custom-frontend.min78a8.css	(from https://scisco.egemenerd.com/)
14:35:04	1233/1233	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jun%202021%2018:58:24%20GMT	https://scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_single_66d889456c359c41189afb9c0f478c7f.css?ver=1616168893	D:/project/ali2/scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_single_66d889456c359c41189afb9c0f478c7f105c.css	(from https://scisco.egemenerd.com/)
14:35:06	51818/51818	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jun%202021%2018:58:24%20GMT	https://scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_single_241be9d7a0b143f2d777de5822018362.css?ver=1619297408	D:/project/ali2/scisco.egemenerd.com/wp-content/cache/autoptimize/css/autoptimize_single_241be9d7a0b143f2d777de582201836235c3.css	(from https://scisco.egemenerd.com/)
14:35:08	89521/89521	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2022:37:01%20GMT	https://scisco.egemenerd.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/project/ali2/scisco.egemenerd.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://scisco.egemenerd.com/)
14:35:09	11224/11224	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Dec%202020%2011:14:11%20GMT	https://scisco.egemenerd.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/project/ali2/scisco.egemenerd.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://scisco.egemenerd.com/)
14:35:10	17063/17063	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Dec%202020%2011:32:01%20GMT	https://scisco.egemenerd.com/wp-content/plugins/anspress-question-answer/assets/js/min/form.min.js?ver=4.1.20	D:/project/ali2/scisco.egemenerd.com/wp-content/plugins/anspress-question-answer/assets/js/min/form.minc5b5.js	(from https://scisco.egemenerd.com/)
14:35:12	19076/19076	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2022:37:01%20GMT	https://scisco.egemenerd.com/wp-includes/js/underscore.min.js?ver=1.8.3	D:/project/ali2/scisco.egemenerd.com/wp-includes/js/underscore.min4511.js	(from https://scisco.egemenerd.com/)
